          X           Y               RA              DEC         m_B       err_B         m_V       err_V         m_R       err_R 
   1161.220    1865.250      308.8427367       60.1416102      27.915       0.197      25.788       0.017      24.179       0.016 
   2220.360    3260.590      308.8546257       60.1232851      28.108       0.209      25.657       0.017      23.898       0.015 
   2250.510     976.770      308.8719491       60.1468838      23.575       0.039      23.135       0.028      22.684       0.034 
   3639.550    3013.140      308.8860100       60.1207047      28.502       0.253      25.816       0.016      23.939       0.013 
   3213.960    2048.550      308.8841962       60.1322619      28.156       0.269      26.106       0.029      24.519       0.032 
   1321.200    2836.340      308.8389805       60.1309485      27.584       0.156      25.744       0.026      24.224       0.012 
   3585.030    2262.680      308.8903639       60.1286920      27.571       0.156      25.433       0.019      23.892       0.015 
   4025.400    3310.190      308.8918766       60.1162204      22.714       0.012      22.346       0.005      21.973       0.007 
   2857.980    3310.030      308.8675529       60.1204594      27.838       0.180      25.646       0.016      23.997       0.012 
   2342.040    3249.490      308.8572428       60.1229591      23.590       0.020      22.993       0.007      22.450       0.008 
   1461.910    3392.010      308.8378571       60.1246696      27.501       0.135      25.490       0.017      23.916       0.011 
   2263.380    1191.370      308.8706477       60.1446095      27.526       0.130      25.343       0.013      23.758       0.012 
   1963.990    2831.640      308.8524153       60.1286676      25.016       0.040      23.892       0.008      22.992       0.010 
   4688.690    4417.320      308.8975944       60.1023202      24.518       0.021      23.073       0.008      21.955       0.006 
   1782.180    1696.510      308.8569193       60.1411110      27.975       0.208      25.874       0.020      24.287       0.013 
   1137.510    3111.150      308.8331446       60.1287608      28.043       0.182      25.876       0.019      24.170       0.012 
    976.250    3197.330      308.8291536       60.1284501      26.285       0.066      24.228       0.010      22.613       0.006 
   2218.230    3228.960      308.8548123       60.1236211      27.149       0.138      25.434       0.016      24.095       0.017 
   3271.750    1863.830      308.8867524       60.1339694      25.705       0.049      24.321       0.009      23.245       0.010 
   4068.410    3407.630      308.8920599       60.1150528      26.316       0.088      24.205       0.008      22.578       0.005 
   1001.150    2032.780      308.8381747       60.1404509      24.252       0.029      23.622       0.019      23.003       0.018 
   4905.660    1393.140      308.9242551       60.1329174      25.119       0.030      23.443       0.008      22.152       0.006 
   1029.080    1503.250      308.8426252       60.1458473      27.984       0.209      25.827       0.024      24.198       0.019 
   1862.380    1529.240      308.8598146       60.1425567      28.337       0.243      25.915       0.017      24.166       0.013 
   3828.390    1381.570      308.9018860       60.1369532      27.975       0.195      25.664       0.015      24.000       0.012 
   3629.570    4518.020      308.8748005       60.1051203      26.239       0.057      24.276       0.007      22.709       0.005 
   4542.340    4688.210      308.8925660       60.1000402      27.729       0.146      25.219       0.014      23.202       0.006 
   1214.820    1943.340      308.8432840       60.1406052      23.385       0.014      23.010       0.007      22.624       0.009 
   1424.040    1616.010      308.8500389       60.1432452      22.698       0.012      22.527       0.007      22.309       0.009 
   2505.440    1461.020      308.8737230       60.1409321      27.955       0.185      25.752       0.018      24.141       0.014 
   3973.680    2453.980      308.8970635       60.1252950      27.743       0.177      25.695       0.022      24.137       0.013 
   3138.720    3820.850      308.8696697       60.1141383      27.159       0.104      24.877       0.009      23.049       0.005 
   1027.800    1560.060      308.8421835       60.1452622      25.331       0.049      24.392       0.016      23.567       0.018 
   4035.670    2536.680      308.8977501       60.1242115      27.580       0.150      25.494       0.015      23.969       0.013 
   1766.810    1746.740      308.8562317       60.1406453      27.495       0.129      25.385       0.015      23.859       0.013 
   3518.380    3374.710      308.8808411       60.1173915      26.468       0.075      24.458       0.015      22.839       0.014 
   4752.860    3853.230      308.9030572       60.1079417      26.117       0.062      24.322       0.009      22.829       0.007 
   3826.390    4351.390      308.8801178       60.1061356      27.012       0.090      24.889       0.015      23.142       0.010 
   1164.780    1798.350      308.8432996       60.1422918      27.734       0.190      25.691       0.017      24.183       0.013 
   4086.460    2343.530      308.9002222       60.1260317      28.664       0.261      26.050       0.021      24.198       0.015 
   4592.120    2413.570      308.9102462       60.1234673      25.760       0.054      23.956       0.007      22.577       0.006 
   2306.320     975.310      308.8731237       60.1466965      28.109       0.195      25.815       0.017      24.154       0.012 
   4505.640    4288.810      308.8947222       60.1043189      26.203       0.058      24.214       0.009      22.663       0.006 
   3838.520    2313.550      308.8952746       60.1272435      28.218       0.213      25.968       0.020      24.333       0.018 
    999.710    2035.540      308.8381245       60.1404274      26.877       0.165      25.387       0.047      24.191       0.035 
   4391.320    3444.270      308.8985187       60.1134997      26.964       0.120      24.813       0.011      23.107       0.006 
   4608.310    3311.570      308.9040099       60.1140886      22.849       0.012      22.687       0.006      22.476       0.009 
   2089.490    4410.730      308.8435005       60.1118191      22.962       0.015      22.723       0.009      22.457       0.014 
   3921.990    3299.550      308.8897999       60.1167064      27.889       0.186      25.062       0.011      23.028       0.007 
   4509.000    3463.680      308.9008281       60.1128707      22.902       0.012      22.716       0.006      22.472       0.008 
   3550.540    3580.820      308.8800042       60.1151354      24.426       0.027      23.360       0.006      22.507       0.007 
   2511.430    4324.920      308.8529182       60.1111805      26.241       0.060      24.412       0.009      22.939       0.006 
   3065.710     790.240      308.8903144       60.1458609      26.729       0.078      25.067       0.013      23.812       0.012 
   1662.630    2565.740      308.8480751       60.1325206      27.914       0.265      26.514       0.069      25.313       0.054 
   1216.850    3932.980      308.8288012       60.1199406      27.033       0.093      24.845       0.011      23.084       0.007 
   4678.370    2902.290      308.9084651       60.1180818      26.739       0.096      24.603       0.009      22.969       0.006 
   2107.020    3219.320      308.8525648       60.1241244      27.407       0.130      25.310       0.015      23.827       0.017 
   2456.990    3768.520      308.8558471       60.1171541      24.189       0.024      23.523       0.008      22.953       0.010 
   4307.380    2867.210      308.9009926       60.1197939      27.133       0.157      24.982       0.012      23.251       0.006 
   1333.660    1945.710      308.8457450       60.1401499      22.745       0.018      22.727       0.019      22.616       0.020 
   2057.290    2753.990      308.8549275       60.1291355      28.296       0.254      26.115       0.024      24.499       0.022 
   2306.830    3897.890      308.8517732       60.1163555      27.672       0.177      26.121       0.028      24.824       0.021 
   4938.160    4328.500      308.9034391       60.1023358      26.093       0.056      24.239       0.009      22.769       0.007 
   1089.290    1715.290      308.8423320       60.1434277      27.860       0.196      25.902       0.033      24.449       0.024 
   1532.590    1325.640      308.8544250       60.1458661      26.367       0.065      24.761       0.014      23.581       0.015 
   1115.980    1236.160      308.8463894       60.1483053      24.174       0.021      23.677       0.013      23.195       0.016 
   2843.270     877.370      308.8850380       60.1457642      27.317       0.108      25.586       0.017      24.232       0.013 
   4668.320    1243.240      308.9204071       60.1353361      26.735       0.080      24.744       0.014      23.104       0.007 
   1969.260    3562.040      308.8471906       60.1210658      28.428       0.275      26.339       0.029      24.717       0.019 
   1989.190    4684.950      308.8394094       60.1093355      25.639       0.042      24.083       0.014      22.853       0.010 
   3628.930    4088.360      308.8779272       60.1095826      23.074       0.013      22.860       0.007      22.604       0.010 
   1180.680    1604.540      308.8450472       60.1442464      23.258       0.017      23.062       0.013      22.812       0.021 
