         id               ra              dec             flux      type           n               re              phi            ratio     notes 
       6365       53.1766785      -27.8503313        0.5596640    sersic       2.571        1.3810000      -12.8860000        0.6941000   comment 
       6366       53.0942825      -27.8503470        0.7918850    sersic       1.719        1.1270000       42.9810000        0.3903000   comment 
       6367       53.0930217      -27.8503260        0.6013200    sersic       0.617        1.6540000       59.8640000        0.0311000   comment 
       6368       53.0947088      -27.8507776        1.7143748    sersic       0.343        3.2400000       22.6020000        0.1880000   comment 
       6369       53.1957872      -27.8502902        1.1559362    sersic       1.306        0.8050000      -79.6040000        0.3510000   comment 
       6371       53.1825809      -27.8503490        1.3926733    sersic       3.442        1.0260000      -70.5050000        0.0577000   comment 
       6377       53.1629707      -27.8513280        2.5985306    sersic       0.590        5.6020000        1.1220000        0.8006000   comment 
       6378       53.1714864      -27.8504174        2.1935706    sersic       0.200        2.4570000       22.0400000        0.2912000   comment 
       6380       53.1371352      -27.8521744       19.2320072    sersic       5.194        1.0880000       71.1480000        0.9734000   comment 
       6382       53.1025904      -27.8504579        2.9899419    sersic       2.209        0.6700000      -53.7390000        0.8168000   comment 
       6383       53.1813533      -27.8503237        2.4855754    sersic       0.691        4.7100000       68.7300000        0.3750000   comment 
       6384       53.1193880      -27.8502562        1.1260038    sersic       1.811        0.8520000       75.0570000        0.7972000   comment 
       6385       53.1070913      -27.8501667        0.4359693    sersic       1.214        0.6940000       -0.9650000        0.0834000   comment 
       6386       53.0641806      -27.8502256        1.0344826    sersic       0.680        2.8120000      -57.9250000        0.3090000   comment 
       6387       53.0826541      -27.8506710        3.6002739    sersic       0.644        3.2830000       31.7480000        0.1636000   comment 
       6388       53.1674752      -27.8501332        0.5554656    sersic       7.218        4.6830000       73.6050000        0.2462000   comment 
       6390       53.1965708      -27.8516962       29.7254122    sersic       5.066        6.0960000      -26.6190000        0.4546000   comment 
       6391       53.1133487      -27.8501091        0.8656382    sersic       0.336        1.7450000       -0.6420000        0.5832000   comment 
       6392       53.1407050      -27.8505867        5.6661482    sersic       1.049        1.4950000      -36.9170000        0.4648000   comment 
       6394       53.1922348      -27.8503251        5.7977199    sersic       0.682        2.4600000      -44.7590000        0.3234000   comment 
       6396       53.1925707      -27.8500743        2.6611635    sersic       1.153        1.5960000        8.8120000        0.8021000   comment 
       6397       53.0773475      -27.8500263        0.5510362    sersic       0.200        0.7820000        2.3410000        0.4902000   comment 
       6398       53.0976694      -27.8500151        0.9674819    sersic       6.697       20.8840000       48.8730000        0.8777000   comment 
       6399       53.1138574      -27.8501995        1.4942288    sersic       0.737        4.7500000       73.3180000        0.4873000   comment 
       6402       53.1515841      -27.8501300        0.9792571    sersic       1.546        1.4340000       -1.2160000        0.2456000   comment 
       6403       53.0983263      -27.8504245        1.8972070    sersic       8.000        2.6800000      -12.5420000        0.5141000   comment 
       6404       53.1973956      -27.8501816        3.6851089    sersic       1.800        3.7400000       82.4090000        0.5807000   comment 
       6405       53.1348068      -27.8501427        2.1499960    sersic       0.881        1.2510000        7.6740000        0.6789000   comment 
       6407       53.0777737      -27.8501057        1.3895700    sersic       1.211        3.1180000       57.4530000        0.2059000   comment 
       6408       53.0572612      -27.8499322        0.6359545    sersic       1.650        0.6210000      -73.9890000        0.3091000   comment 
       6409       53.1528297      -27.8507812       11.1934094    sersic       1.063        3.8960000       42.3780000        0.4362000   comment 
       6410       53.0627033      -27.8499142        0.2709445    sersic       1.527        2.7570000       55.2490000        0.4345000   comment 
