x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
1672.57,498.64,26.703,0.261,26.4608660904,2.08e-11,0.014,1.087,4.2,-0.035
1217.89,168.7,26.367,0.194,26.7093356292,2.84e-11,0.057,0.176,5.6,-0.027
2878.04,628.83,26.652,0.256,99.99,2.18e-11,0.011,0.367,4.2,-0.036
1911.99,1116.9,24.739,0.047,24.692522712,1.27e-10,0.029,0.114,23.2,0.019
38.24,3213.86,26.887,0.315,26.9381212819,1.76e-11,0.112,5.794,3.4,0.379
3429.91,3639.03,25.448,0.198,26.7885178096,6.62e-11,0.068,0.872,5.5,0.088
3722.98,1656.04,24.069,0.059,26.7152265015,2.36e-10,0.016,-0.076,18.3,-0.031
3340.34,867.29,26.956,0.33,27.6587124076,1.65e-11,0.143,2.647,3.3,0.241
470.7,3606.55,25.751,0.111,25.8183768863,5.01e-11,0.056,0.101,9.8,0.001
2427.59,2901.58,24.298,0.032,23.5190274539,1.91e-10,0.005,0.003,34.0,-0.026
1475.58,2386.67,25.714,0.108,25.6679711161,5.18e-11,0.089,0.035,10.1,0.018
1819.52,2589.51,25.479,0.087,25.4231565346,6.43e-11,0.112,0.154,12.4,0.026
1980.28,2907.08,25.584,0.097,25.7177816462,5.84e-11,0.013,0.746,11.2,-0.057
3356.84,1826.56,26.113,0.155,26.1607393988,3.59e-11,0.043,-0.755,7.0,-0.012
3563.98,3501.15,26.166,0.165,99.99,3.42e-11,0.194,0.496,6.6,-0.382
2116.42,3376.8,25.027,0.06,24.9633703501,9.75e-11,0.012,0.297,18.2,-0.042
2907.52,3149.75,25.76,0.113,25.7807695179,4.97e-11,0.132,2.983,9.6,0.147
2710.29,3504.53,25.216,0.069,25.2335865443,8.2e-11,0.015,0.107,15.6,0.013
1765.61,2331.41,24.605,0.041,24.5270036425,1.44e-10,0.007,-0.01,26.2,0.03
3758.2,3197.43,26.292,0.182,26.0355555028,3.04e-11,0.03,0.786,6.0,0.083
2840.15,1703.54,26.51,0.22,26.7824972115,2.49e-11,0.191,4.981,4.9,-0.005
2667.98,588.16,26.765,0.284,28.1030785128,1.97e-11,0.104,0.11,3.8,0.074
3603.0,3966.62,26.674,0.259,26.8965144522,2.14e-11,0.023,-0.689,4.2,0.131
1406.72,614.43,26.708,0.262,99.99,2.07e-11,0.065,0.515,4.1,-0.032
1140.05,2894.08,25.243,0.072,22.7343713499,7.99e-11,0.047,-0.341,15.0,0.013
1187.36,3494.37,26.615,0.241,26.9080885079,2.26e-11,0.064,-0.23,4.5,-0.052
3269.33,3401.7,26.031,0.143,25.6999444989,3.87e-11,0.036,1.083,7.6,-0.011
1718.98,1514.92,26.769,0.286,99.99,1.96e-11,0.01,-0.152,3.8,0.223
2150.88,2921.88,26.821,0.297,99.99,1.87e-11,0.044,-1.537,3.7,0.089
2152.63,583.16,26.828,0.296,99.99,1.86e-11,0.033,0.8,3.7,0.106
