         T         c12         c13         c14 
   1201.73  12.2911001  16.2389723  18.9006819 
   1202.29  12.2848045  16.2305281  18.8907410 
   1202.84  12.2785119  16.2220878  18.8808046 
   1203.39  12.2722221  16.2136514  18.8708728 
   1203.95  12.2659353  16.2052188  18.8609456 
   1204.50  12.2596513  16.1967902  18.8510230 
   1205.06  12.2533703  16.1883654  18.8411050 
   1205.61  12.2470921  16.1799445  18.8311915 
   1206.17  12.2408168  16.1715275  18.8212826 
   1206.72  12.2345444  16.1631143  18.8113782 
   1207.28  12.2282749  16.1547051  18.8014784 
   1207.84  12.2220083  16.1462997  18.7915832 
   1208.39  12.2157446  16.1378981  18.7816926 
   1208.95  12.2094837  16.1295005  18.7718065 
   1209.51  12.2032258  16.1211067  18.7619250 
   1210.06  12.1969707  16.1127168  18.7520480 
   1210.62  12.1907185  16.1043307  18.7421755 
   1211.18  12.1844692  16.0959485  18.7323077 
   1211.74  12.1782227  16.0875701  18.7224444 
   1212.30  12.1719791  16.0791957  18.7125856 
   1212.85  12.1657385  16.0708250  18.7027313 
   1213.41  12.1595006  16.0624583  18.6928817 
   1213.97  12.1532657  16.0540954  18.6830365 
   1214.53  12.1470336  16.0457363  18.6731959 
   1215.09  12.1408044  16.0373811  18.6633598 
   1215.65  12.1345781  16.0290297  18.6535283 
   1216.21  12.1283546  16.0206822  18.6437013 
   1216.77  12.1221340  16.0123385  18.6338788 
   1217.33  12.1159162  16.0039987  18.6240609 
   1217.89  12.1097014  15.9956627  18.6142475 
   1218.45  12.1034893  15.9873305  18.6044386 
   1219.01  12.0972802  15.9790022  18.5946342 
   1219.58  12.0910739  15.9706777  18.5848344 
   1220.14  12.0848704  15.9623571  18.5750390 
   1220.70  12.0786699  15.9540402  18.5652482 
   1221.26  12.0724721  15.9457272  18.5554619 
   1221.82  12.0662773  15.9374181  18.5456801 
   1222.39  12.0600852  15.9291128  18.5359029 
   1222.95  12.0538961  15.9208112  18.5261301 
   1223.51  12.0477097  15.9125136  18.5163618 
   1224.08  12.0415263  15.9042197  18.5065981 
   1224.64  12.0353456  15.8959296  18.4968388 
   1225.21  12.0291679  15.8876434  18.4870841 
   1225.77  12.0229929  15.8793610  18.4773338 
   1226.33  12.0168208  15.8710824  18.4675880 
   1226.90  12.0106516  15.8628076  18.4578468 
   1227.46  12.0044852  15.8545367  18.4481100 
   1228.03  11.9983216  15.8462695  18.4383777 
   1228.60  11.9921609  15.8380061  18.4286499 
   1229.16  11.9860030  15.8297466  18.4189266 
   1229.73  11.9798479  15.8214908  18.4092078 
   1230.29  11.9736957  15.8132389  18.3994934 
   1230.86  11.9675463  15.8049908  18.3897835 
   1231.43  11.9613997  15.7967464  18.3800781 
   1232.00  11.9552560  15.7885059  18.3703772 
   1232.56  11.9491151  15.7802691  18.3606808 
   1233.13  11.9429770  15.7720361  18.3509888 
   1233.70  11.9368418  15.7638070  18.3413013 
   1234.27  11.9307094  15.7555816  18.3316183 
   1234.84  11.9245798  15.7473600  18.3219397 
   1235.40  11.9184530  15.7391422  18.3122656 
   1235.97  11.9123290  15.7309282  18.3025959 
   1236.54  11.9062079  15.7227179  18.2929307 
   1237.11  11.9000896  15.7145115  18.2832700 
   1237.68  11.8939741  15.7063088  18.2736137 
   1238.25  11.8878614  15.6981099  18.2639619 
   1238.82  11.8817515  15.6899148  18.2543145 
   1239.39  11.8756445  15.6817234  18.2446716 
   1239.96  11.8695402  15.6735359  18.2350331 
   1240.54  11.8634388  15.6653520  18.2253991 
   1241.11  11.8573402  15.6571720  18.2157695 
   1241.68  11.8512444  15.6489957  18.2061443 
   1242.25  11.8451513  15.6408232  18.1965236 
   1242.82  11.8390611  15.6326545  18.1869074 
   1243.40  11.8329737  15.6244895  18.1772955 
   1243.97  11.8268891  15.6163283  18.1676881 
   1244.54  11.8208074  15.6081708  18.1580851 
   1245.12  11.8147284  15.6000171  18.1484866 
   1245.69  11.8086522  15.5918672  18.1388925 
   1246.26  11.8025788  15.5837210  18.1293028 
   1246.84  11.7965082  15.5755785  18.1197175 
   1247.41  11.7904404  15.5674399  18.1101366 
   1247.99  11.7843754  15.5593049  18.1005602 
   1248.56  11.7783131  15.5511737  18.0909882 
   1249.14  11.7722537  15.5430463  18.0814206 
   1249.71  11.7661971  15.5349225  18.0718574 
   1250.29  11.7601432  15.5268026  18.0622986 
   1250.86  11.7540922  15.5186864  18.0527442 
   1251.44  11.7480439  15.5105739  18.0431942 
   1252.02  11.7419984  15.5024651  18.0336487 
   1252.59  11.7359557  15.4943601  18.0241075 
   1253.17  11.7299158  15.4862588  18.0145707 
   1253.75  11.7238786  15.4781612  18.0050384 
   1254.32  11.7178443  15.4700674  17.9955104 
   1254.90  11.7118127  15.4619773  17.9859868 
   1255.48  11.7057839  15.4538909  17.9764676 
   1256.06  11.6997579  15.4458083  17.9669529 
   1256.64  11.6937346  15.4377294  17.9574425 
   1257.22  11.6877141  15.4296542  17.9479364 
   1257.80  11.6816964  15.4215827  17.9384348 
   1258.37  11.6756815  15.4135149  17.9289375 
   1258.95  11.6696693  15.4054508  17.9194447 
   1259.53  11.6636599  15.3973905  17.9099562 
   1260.11  11.6576533  15.3893339  17.9004721 
   1260.70  11.6516494  15.3812810  17.8909923 
   1261.28  11.6456483  15.3732318  17.8815170 
   1261.86  11.6396500  15.3651862  17.8720460 
   1262.44  11.6336544  15.3571445  17.8625793 
   1263.02  11.6276616  15.3491064  17.8531171 
   1263.60  11.6216715  15.3410720  17.8436592 
   1264.18  11.6156842  15.3330413  17.8342056 
   1264.77  11.6096997  15.3250143  17.8247564 
   1265.35  11.6037179  15.3169910  17.8153116 
   1265.93  11.5977388  15.3089714  17.8058712 
   1266.51  11.5917626  15.3009555  17.7964351 
   1267.10  11.5857890  15.2929433  17.7870033 
   1267.68  11.5798183  15.2849347  17.7775759 
   1268.27  11.5738502  15.2769299  17.7681528 
   1268.85  11.5678850  15.2689288  17.7587341 
   1269.43  11.5619224  15.2609313  17.7493198 
   1270.02  11.5559626  15.2529375  17.7399097 
   1270.60  11.5500056  15.2449474  17.7305040 
   1271.19  11.5440513  15.2369610  17.7211027 
   1271.78  11.5380997  15.2289783  17.7117057 
   1272.36  11.5321509  15.2209992  17.7023130 
   1272.95  11.5262048  15.2130238  17.6929247 
   1273.53  11.5202615  15.2050521  17.6835407 
   1274.12  11.5143209  15.1970840  17.6741610 
   1274.71  11.5083830  15.1891197  17.6647856 
   1275.29  11.5024479  15.1811590  17.6554146 
   1275.88  11.4965155  15.1732019  17.6460479 
   1276.47  11.4905858  15.1652485  17.6366855 
   1277.06  11.4846589  15.1572988  17.6273274 
   1277.65  11.4787347  15.1493528  17.6179737 
   1278.23  11.4728132  15.1414104  17.6086242 
   1278.82  11.4668944  15.1334717  17.5992791 
   1279.41  11.4609784  15.1255366  17.5899383 
   1280.00  11.4550651  15.1176052  17.5806018 
   1280.59  11.4491545  15.1096774  17.5712696 
   1281.18  11.4432467  15.1017533  17.5619417 
   1281.77  11.4373415  15.0938328  17.5526181 
   1282.36  11.4314391  15.0859160  17.5432988 
   1282.95  11.4255394  15.0780028  17.5339838 
   1283.54  11.4196424  15.0700933  17.5246731 
   1284.14  11.4137481  15.0621874  17.5153667 
   1284.73  11.4078566  15.0542851  17.5060646 
   1285.32  11.4019677  15.0463865  17.4967668 
   1285.91  11.3960816  15.0384916  17.4874733 
   1286.50  11.3901982  15.0306002  17.4781840 
   1287.10  11.3843174  15.0227125  17.4688991 
   1287.69  11.3784394  15.0148285  17.4596184 
   1288.28  11.3725641  15.0069480  17.4503420 
   1288.88  11.3666915  14.9990712  17.4410699 
   1289.47  11.3608217  14.9911981  17.4318021 
   1290.06  11.3549545  14.9833285  17.4225385 
   1290.66  11.3490900  14.9754626  17.4132792 
   1291.25  11.3432282  14.9676003  17.4040242 
   1291.85  11.3373691  14.9597416  17.3947735 
