x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
2446.59,858.27,27.176,0.105,26.90320763,1.35e-11,0.01,0.284,10.4,0.061
3585.92,153.35,28.04,0.251,27.8559247166,6.08e-12,0.007,1.009,4.3,-0.029
2781.45,3132.54,27.816,0.166,27.7750235873,7.47e-12,0.006,1.834,6.5,0.017
3247.86,2484.46,27.855,0.2,27.5546746591,7.21e-12,0.006,0.571,5.4,0.019
203.18,2553.47,26.545,0.06,26.2813952913,2.41e-11,0.044,0.457,18.0,-0.003
2311.76,2654.61,27.323,0.119,27.5979729107,1.18e-11,0.1,0.075,9.1,-0.122
2866.53,274.72,27.753,0.164,27.8380162888,7.92e-12,0.003,-0.391,6.6,-0.006
3928.67,3014.52,27.94,0.193,27.5053834473,6.67e-12,0.025,0.699,5.6,-0.043
813.44,2686.6,27.897,0.182,27.6591458286,6.93e-12,0.044,2.352,6.0,0.023
1983.29,1201.47,27.581,0.141,27.5869069832,9.28e-12,0.067,0.96,7.7,-0.048
1389.28,1481.82,27.71,0.174,27.8160230114,8.24e-12,0.062,0.257,6.2,0.067
3335.03,796.96,27.613,0.188,27.702165371,9.02e-12,0.02,1.359,5.8,-0.011
3628.13,920.6,26.951,0.089,26.7382512777,1.66e-11,0.039,1.198,12.2,0.084
3379.63,223.29,26.629,0.065,26.3451932914,2.23e-11,0.005,0.127,16.8,-0.007
760.82,3114.02,27.569,0.177,27.5356298758,9.39e-12,0.005,-0.132,6.1,0.064
3286.01,2715.5,28.042,0.241,27.9778319014,6.07e-12,0.01,-0.03,4.5,0.063
81.22,3999.12,25.898,0.039,24.4908704831,4.37e-11,0.042,0.08,28.0,-0.006
3830.87,2937.83,28.019,0.258,27.4847154884,6.2e-12,0.248,0.738,4.2,0.393
2281.72,2484.5,28.018,0.211,27.5903817767,6.21e-12,0.013,0.666,5.2,0.02
2663.97,1528.83,28.217,0.314,99.99,5.17e-12,0.104,1.39,3.5,0.254
2277.49,2903.76,27.637,0.151,27.5406366091,8.82e-12,0.015,0.2,7.2,-0.027
1850.88,2384.73,27.004,0.098,26.7466496132,1.58e-11,0.007,0.466,11.1,0.033
1209.14,1088.82,27.801,0.205,27.7056963041,7.58e-12,0.007,3.457,5.3,0.073
1399.39,3165.33,26.021,0.038,25.7316493558,3.9e-11,0.003,0.382,28.7,0.016
1026.55,2695.43,27.745,0.159,27.5107949556,7.98e-12,0.09,1.701,6.8,0.041
2026.07,1681.02,27.71,0.205,27.7216152112,8.24e-12,0.073,1.734,5.3,0.118
3225.58,2650.7,27.423,0.123,27.3138222863,1.07e-11,0.105,0.547,8.8,-0.001
3126.63,3900.5,28.141,0.228,27.6668147553,5.54e-12,0.021,1.131,4.8,0.024
2842.52,1036.91,26.061,0.041,25.898950058,3.76e-11,0.005,0.5,26.3,0.005
2842.74,3935.96,26.786,0.211,27.5228069855,1.93e-11,0.063,-0.716,5.2,0.044
2904.53,1948.67,26.342,0.047,26.1587598325,2.9e-11,0.007,0.177,22.9,0.007
3154.12,3469.36,26.078,0.043,28.2277394628,3.7e-11,0.002,-0.094,25.2,0.008
1000.26,2172.01,26.49,0.163,27.4306691865,2.53e-11,0.004,-0.054,6.6,-0.044
688.99,3700.13,27.839,0.232,27.3799975516,7.32e-12,0.107,0.884,4.7,0.102
1306.39,2821.13,26.494,0.061,26.3305061676,2.53e-11,0.035,0.909,17.7,0.028
3821.5,2032.81,28.013,0.218,27.7942183552,6.23e-12,0.006,2.361,5.0,0.067
684.39,2388.29,26.345,0.05,26.1305882156,2.9e-11,0.12,0.254,21.6,-0.003
3257.56,3244.39,28.042,0.21,27.6688193062,6.07e-12,0.002,0.099,5.2,-0.178
1925.19,2846.38,25.727,0.031,25.4866382068,5.12e-11,0.003,0.221,34.8,-0.011
2243.6,2682.66,27.862,0.182,27.6342299651,7.16e-12,0.005,0.678,6.0,0.049
2764.1,2919.3,26.756,0.079,26.3358026141,1.98e-11,0.008,0.126,13.7,0.007
3342.59,2872.67,28.34,0.279,28.1587066796,4.61e-12,0.018,4.329,3.9,0.166
2266.8,964.71,25.847,0.035,25.6252888636,4.58e-11,0.02,0.196,31.1,0.002
425.15,738.71,27.69,0.174,27.7352532367,8.4e-12,0.015,-0.029,6.3,0.077
2232.9,1985.19,28.01,0.26,27.5443805048,6.25e-12,0.05,2.153,4.2,0.082
3576.0,3377.26,27.927,0.237,27.8894746364,6.75e-12,0.004,2.025,4.6,0.028
3813.9,2771.57,27.958,0.224,27.4524778689,6.56e-12,0.005,1.597,4.9,0.073
166.8,2695.85,27.283,0.13,27.0863024436,1.22e-11,0.149,0.092,8.3,-0.123
1043.72,2799.1,27.723,0.191,27.9065503066,8.14e-12,0.029,-0.022,5.7,-0.081
1368.61,1424.0,26.1,0.045,22.8955429336,3.63e-11,0.002,0.264,24.3,0.014
2263.52,1835.32,28.338,0.163,27.6532720795,4.62e-12,0.034,0.011,6.7,-0.049
3397.6,106.67,26.165,0.042,22.6380635361,3.42e-11,0.017,0.696,26.1,-0.03
1501.26,1812.98,26.353,0.057,26.2582326093,2.88e-11,0.103,0.245,19.2,-0.065
4005.74,889.8,27.514,0.15,27.6747096226,9.87e-12,0.022,0.312,7.2,-0.031
2965.51,1192.27,27.59,0.146,27.517931797,9.2e-12,0.011,1.604,7.4,0.05
1426.41,174.64,27.674,0.15,25.631884091,8.52e-12,0.018,3.787,7.2,0.018
1344.26,2796.28,28.285,0.291,27.9887561659,4.85e-12,0.041,2.004,3.7,0.19
2989.21,3608.91,26.695,0.195,27.6582098748,2.1e-11,0.014,1.416,5.6,-0.03
2953.27,3948.78,27.21,0.11,27.6163112966,1.31e-11,0.005,1.585,9.9,-0.009
3514.59,1983.81,27.872,0.197,27.5110274248,7.1e-12,0.005,0.591,5.5,0.047
3989.08,1989.04,27.093,0.117,27.2018172211,1.45e-11,0.008,0.013,9.3,-0.013
2823.98,3421.98,27.33,0.147,27.5180918141,1.17e-11,0.011,0.158,7.4,-0.023
52.85,3437.38,26.811,0.081,26.6803336041,1.89e-11,0.008,0.45,13.4,0.034
3328.1,3376.74,27.739,0.188,27.6212891709,8.02e-12,0.022,0.226,5.8,-0.091
3065.22,2779.1,28.061,0.265,28.213727828,5.96e-12,0.077,0.864,4.1,0.115
2946.97,1841.76,27.767,0.201,27.5125456911,7.82e-12,0.01,2.344,5.4,0.096
1642.11,2300.13,27.986,0.257,27.3716855905,6.39e-12,0.021,0.818,4.2,0.072
256.4,3197.3,28.192,0.251,27.6855255364,5.29e-12,0.002,-0.424,4.3,0.012
2874.91,3605.55,27.683,0.174,27.6885580577,8.45e-12,0.024,0.394,6.2,-0.072
4001.91,3902.23,27.294,0.134,26.9543315089,1.21e-11,0.008,2.098,8.1,0.017
2018.27,1820.0,27.614,0.173,27.0470842907,9e-12,0.033,0.488,6.3,0.015
571.34,1779.74,27.622,0.152,27.5318692073,8.93e-12,0.031,1.108,7.2,0.068
846.22,1312.25,27.6,0.163,27.4387672206,9.12e-12,0.033,1.007,6.6,0.033
1779.38,3414.73,27.48,0.131,27.7650907393,1.02e-11,0.019,1.342,8.3,0.046
2138.54,2474.19,27.902,0.206,27.6977154288,6.9e-12,0.005,0.101,5.3,-0.108
2133.91,592.78,26.534,0.067,26.3053340994,2.43e-11,0.01,-0.033,16.3,0.015
2302.93,1920.95,23.789,0.066,28.7295060552,3.05e-10,0.337,6.656,16.6,1.1
243.5,3638.63,27.583,0.135,27.5535847135,9.27e-12,0.004,7.455,8.0,-0.004
2662.5,2657.77,26.544,0.058,26.2643245935,2.41e-11,0.001,0.244,18.6,0.019
430.09,3609.36,27.453,0.145,27.2325519671,1.04e-11,0.032,0.16,7.5,0.023
3458.61,2920.2,27.969,0.222,27.6490252997,6.49e-12,0.173,0.001,4.9,0.051
1481.37,3949.44,27.988,0.2,27.5791901995,6.38e-12,0.062,-0.151,5.4,-0.055
664.03,1532.47,27.789,0.192,27.560913803,7.66e-12,0.017,0.23,5.6,0.051
3020.3,3504.46,26.551,0.057,26.303844726,2.4e-11,0.026,0.136,19.0,-0.001
142.81,1726.97,28.026,0.266,99.99,6.16e-12,0.005,0.205,4.1,0.102
2573.5,3903.16,27.629,0.161,27.4674563725,8.88e-12,0.034,-0.07,6.7,0.04
2508.02,1466.88,27.808,0.219,27.6026750982,7.53e-12,0.006,2.267,5.0,-0.015
1805.04,1136.77,27.824,0.211,27.7351694189,7.42e-12,0.002,-0.014,5.2,-0.008
2141.01,2999.57,27.683,0.176,27.6093188227,8.45e-12,0.002,1.178,6.2,-0.015
3862.22,1241.6,27.464,0.133,27.5821008139,1.03e-11,0.01,0.109,8.2,0.004
2751.77,1734.78,27.918,0.219,27.3358349574,6.81e-12,0.029,0.056,5.0,0.057
1717.1,3428.47,27.937,0.215,27.5720231962,6.69e-12,0.07,1.719,5.0,0.057
3931.97,2748.65,27.721,0.184,27.5267099489,8.16e-12,0.002,-0.215,5.9,-0.056
2224.37,3882.77,27.161,0.102,26.7874479844,1.37e-11,0.022,2.011,10.7,0.009
2191.99,803.01,28.033,0.279,28.263670879,6.12e-12,0.019,0.14,3.9,0.15
2823.22,3644.78,27.794,0.191,27.9069178688,7.63e-12,0.012,0.594,5.7,-0.062
1581.34,2198.84,26.001,0.039,23.5960313607,3.98e-11,0.026,0.314,27.9,0.003
901.62,3883.73,26.944,0.083,27.6596261386,1.67e-11,0.012,1.199,13.1,0.005
2426.63,1507.03,27.669,0.18,27.5976399603,8.56e-12,0.126,0.361,6.0,0.034
1247.6,2472.18,28.054,0.242,27.6214368753,6e-12,0.084,1.078,4.5,0.041
3669.98,1372.22,26.139,0.049,25.8735948263,3.5e-11,0.001,0.103,22.2,-0.005
2824.36,1337.46,27.687,0.151,27.6763150228,8.42e-12,0.003,0.022,7.2,-0.104
3764.6,710.08,25.809,0.035,26.6707357263,4.74e-11,0.066,-0.053,31.1,-0.001
2098.3,3017.42,27.439,0.125,27.4633357472,1.06e-11,0.026,1.123,8.7,0.029
2483.67,3174.29,26.217,0.046,25.9002486004,3.26e-11,0.009,0.342,23.6,0.003
3079.66,3706.42,27.972,0.203,27.8910545124,6.48e-12,0.034,0.256,5.4,-0.03
3419.98,433.76,26.886,0.241,27.6911026711,1.76e-11,0.035,1.859,4.5,0.081
